chr	start	end	id	strand
chr6	50051186	50107628	ENSMUSG00000108071.1	+
chrY	33321745	33324976	ENSMUSG00000101516.6	+
chrY	33322198	33324552	ENSMUSG00000101516.6	+
chrY	33322198	33324552	ENSMUSG00000101516.6	+
chr2	38424002	38455851	ENSMUSG00000085950.1	+
chr15	84714629	84720266	ENSMUSG00000116396.1	-
chr14	25315873	25379609	ENSMUSG00000097601.2	-
chr14	25355801	25378635	ENSMUSG00000097601.2	-
chr13	97283183	97285560	ENSMUSG00000097932.2	+
chr4	140391148	140396604	ENSMUSG00000086960.1	+
chr13	97376234	97380465	ENSMUSG00000114425.1	+
chrY	33382665	33385900	ENSMUSG00000100790.6	-
chrY	33383086	33385448	ENSMUSG00000100790.6	-
chrY	33383086	33385448	ENSMUSG00000100790.6	-
chr7	88853043	88864892	ENSMUSG00000109278.1	-
chr4	140422524	140431931	ENSMUSG00000086437.2	+
chr10	122119700	122130558	ENSMUSG00000111952.1	+
chrY	77444923	77448266	ENSMUSG00000100526.1	-
chr8	8488302	8495535	ENSMUSG00000108941.1	+
chrY	77478913	77481137	ENSMUSG00000100149.1	+
chrY	77476817	77481943	ENSMUSG00000101785.1	-
chr14	48537991	48545022	ENSMUSG00000115725.1	+
chr14	48538322	48570180	ENSMUSG00000115725.1	+
chr14	48538359	48557815	ENSMUSG00000115725.1	+
chr14	48557568	48571888	ENSMUSG00000115725.1	+
chr14	48560807	48563276	ENSMUSG00000115725.1	+
chr8	8576522	8580342	ENSMUSG00000108932.1	+
chr1	186177338	186223789	ENSMUSG00000103449.1	+
chrY	33411603	33414835	ENSMUSG00000101302.6	-
chrY	33412027	33414382	ENSMUSG00000101302.6	-
chrY	33412027	33414382	ENSMUSG00000101302.6	-
chr8	8612264	8615862	ENSMUSG00000109436.1	+
chr10	51666989	51675831	ENSMUSG00000112878.1	+
chr15	3128564	3160964	ENSMUSG00000115013.1	+
chr1	47153461	47189071	ENSMUSG00000101447.1	+
chr17	23572492	23573427	ENSMUSG00000115842.1	-
chr4	140437963	140461291	ENSMUSG00000085047.1	+
chr12	64147856	64152948	ENSMUSG00000113152.1	-
chr12	64143748	64197261	ENSMUSG00000113208.1	+
chr7	25577074	25577798	ENSMUSG00000108579.1	-
chr7	25577075	25577798	ENSMUSG00000108579.1	-
chr13	97434970	97497007	ENSMUSG00000078952.9	+
chr13	97482701	97497007	ENSMUSG00000078952.9	+
chr13	97482955	97489700	ENSMUSG00000078952.9	+
chrY	33446027	33449259	ENSMUSG00000102125.6	-
chrY	33446451	33448806	ENSMUSG00000102125.6	-
chrY	33446451	33448806	ENSMUSG00000102125.6	-
chr4	51968094	52051110	ENSMUSG00000085515.1	-
chr10	122386892	122435033	ENSMUSG00000112774.1	+
chr7	25584224	25594776	ENSMUSG00000108553.1	+
chr3	51378024	51386317	ENSMUSG00000102544.1	+
chr3	51378076	51386324	ENSMUSG00000102544.1	+
chr12	5375870	5416305	ENSMUSG00000037735.7	+
chr12	5411641	5416631	ENSMUSG00000037735.7	+
chrX	38476461	38482486	ENSMUSG00000087390.1	+
chr9	60527419	60546035	ENSMUSG00000111809.1	+
chr9	60523967	60545882	ENSMUSG00000111761.1	-
chr9	60525645	60545876	ENSMUSG00000111761.1	-
chr3	97930173	97967018	ENSMUSG00000074388.3	+
chr12	22516453	22517317	ENSMUSG00000114006.1	-
chrY	33635670	33636197	ENSMUSG00000094064.2	-
chrY	33635694	33636191	ENSMUSG00000094064.2	-
chr1	186511838	186558472	ENSMUSG00000103690.1	-
chr1	186511882	186558681	ENSMUSG00000103690.1	-
chr1	85775271	85784694	ENSMUSG00000100217.1	+
chrY	61577303	61580542	ENSMUSG00000101353.6	+
chrY	61577756	61580122	ENSMUSG00000101353.6	+
chrY	61556222	61583931	ENSMUSG00000099865.1	-
chrY	33677627	33679991	ENSMUSG00000099461.6	-
chrY	33677627	33679991	ENSMUSG00000099461.6	-
chr6	34533553	34541387	ENSMUSG00000085187.1	+
chrY	24086389	24089731	ENSMUSG00000102239.1	+
chr13	54399092	54399334	ENSMUSG00000086137.1	-
chrY	33702336	33702863	ENSMUSG00000096532.2	-
chrY	33702360	33702857	ENSMUSG00000096532.2	-
chr10	24123214	24132480	ENSMUSG00000085451.2	-
chr15	75076210	75079094	ENSMUSG00000099452.1	-
chr7	65212814	65213369	ENSMUSG00000108587.1	-
chr7	65212817	65213429	ENSMUSG00000108587.1	-
chr9	74560582	74561378	ENSMUSG00000101526.1	-
chr13	56222224	56243940	ENSMUSG00000097361.1	-
chr3	108226787	108240247	ENSMUSG00000105961.1	+
chrY	33740211	33742489	ENSMUSG00000101681.6	-
chrY	33740211	33742489	ENSMUSG00000101681.6	-
chr13	71487607	71612709	ENSMUSG00000113358.1	+
chr15	12194907	12196619	ENSMUSG00000115153.1	-
chr4	128846197	128873698	ENSMUSG00000085701.1	+
chrY	77605955	77609301	ENSMUSG00000100823.1	-
chr10	100707535	100741635	ENSMUSG00000112104.1	-
chr9	74848463	74891476	ENSMUSG00000093662.2	+
chr5	87908779	87914171	ENSMUSG00000105888.1	+
chr9	74852909	74855385	ENSMUSG00000101596.1	-
chr7	3591646	3604150	ENSMUSG00000108644.1	-
chrY	77643677	77646914	ENSMUSG00000099416.1	+
chrY	77644130	77646494	ENSMUSG00000099416.1	+
chr1	151001040	151004577	ENSMUSG00000099622.1	+
chr9	13915801	13920119	ENSMUSG00000111100.1	-
chr9	13945281	13981814	ENSMUSG00000111871.1	+
chr12	5808195	5984547	ENSMUSG00000112404.1	+
chr12	5808210	5856147	ENSMUSG00000112404.1	+
chr12	5808217	5849563	ENSMUSG00000112404.1	+
chr12	5808234	5856142	ENSMUSG00000112404.1	+
chr12	5874914	5984958	ENSMUSG00000112404.1	+
chr12	5874915	5984683	ENSMUSG00000112404.1	+
chrY	34063698	34064225	ENSMUSG00000101472.1	+
chrY	34086381	34088745	ENSMUSG00000101407.6	+
chrY	34086381	34088745	ENSMUSG00000101407.6	+
chrY	34125909	34126436	ENSMUSG00000099500.1	+
chrY	34148855	34151218	ENSMUSG00000100097.6	+
chrY	34148855	34151218	ENSMUSG00000100097.6	+
chrY	34186435	34186962	ENSMUSG00000101474.1	+
chr13	97511204	97515730	ENSMUSG00000114926.1	+
chr9	14089620	14118301	ENSMUSG00000111489.1	+
chr9	14090077	14109497	ENSMUSG00000111489.1	+
chr9	14090209	14094206	ENSMUSG00000111489.1	+
chr9	14101964	14109550	ENSMUSG00000111489.1	+
chr9	14103592	14109471	ENSMUSG00000111489.1	+
chr13	97523200	97527455	ENSMUSG00000114415.1	-
chr9	14107054	14108123	ENSMUSG00000111479.1	-
chr13	97559971	97583996	ENSMUSG00000110235.1	+
chr13	97560000	97583994	ENSMUSG00000110235.1	+
chr13	97560026	97577418	ENSMUSG00000110235.1	+
chr10	122565023	122569891	ENSMUSG00000112095.1	-
chr12	22953997	23010243	ENSMUSG00000073164.11	-
chr12	22953999	23010284	ENSMUSG00000073164.11	-
chr12	22959677	23010209	ENSMUSG00000073164.11	-
chr12	22982386	23009998	ENSMUSG00000073164.11	-
chr12	22992324	23010225	ENSMUSG00000073164.11	-
chr12	67651385	67658263	ENSMUSG00000114010.1	+
chr9	95554497	95558606	ENSMUSG00000110827.1	+
chr9	95557232	95558913	ENSMUSG00000110827.1	+
chr6	140955609	141044134	ENSMUSG00000107638.2	+
chr6	140955635	141042434	ENSMUSG00000107638.2	+
chr13	97733498	97747411	ENSMUSG00000054944.7	-
chr13	97735347	97743121	ENSMUSG00000054944.7	-
chr13	97744694	97747379	ENSMUSG00000054944.7	-
chr15	19185373	19203329	ENSMUSG00000115803.1	+
chr12	68047704	68067037	ENSMUSG00000113526.1	-
chrY	34209370	34211733	ENSMUSG00000099737.6	+
chrY	34209370	34211733	ENSMUSG00000099737.6	+
chr12	68340465	68445833	ENSMUSG00000113867.1	-
chr13	3759825	3781203	ENSMUSG00000113759.1	+
chr13	3762282	3766169	ENSMUSG00000113259.1	-
chr13	3762350	3766722	ENSMUSG00000113259.1	-
chr12	68511818	68532231	ENSMUSG00000113433.1	-
chr10	4206426	4213114	ENSMUSG00000111266.1	-
chr15	19237749	19240281	ENSMUSG00000115352.1	+
chr3	7925303	7954882	ENSMUSG00000100010.5	-
chr3	7925303	7954889	ENSMUSG00000100010.5	-
chr15	19302948	19395422	ENSMUSG00000114971.1	-
chr10	107199912	107205775	ENSMUSG00000112466.1	-
chr10	107199944	107205727	ENSMUSG00000112466.1	-
chr10	107200816	107205574	ENSMUSG00000112466.1	-
chr15	19678232	19691806	ENSMUSG00000115413.1	+
chr10	94993952	94999442	ENSMUSG00000112277.1	-
chr12	68896529	68994970	ENSMUSG00000113320.1	-
chr12	68970570	68989377	ENSMUSG00000113098.1	+
chr1	27884046	27902396	ENSMUSG00000101514.1	+
chr12	105864262	105874745	ENSMUSG00000113537.1	+
chr6	4031841	4047585	ENSMUSG00000107681.1	-
chr8	70776815	70777823	ENSMUSG00000100691.1	+
chrY	55151575	55154817	ENSMUSG00000101422.6	+
chrY	55152028	55154394	ENSMUSG00000101422.6	+
chrY	55152028	55154394	ENSMUSG00000101422.6	+
chr12	69115014	69120347	ENSMUSG00000113716.1	-
chr12	69129836	69145076	ENSMUSG00000113158.1	+
chr8	8661801	8664728	ENSMUSG00000040467.1	+
chr10	95120582	95145825	ENSMUSG00000112481.1	-
chr10	95134290	95136874	ENSMUSG00000112501.1	-
chr13	97751112	97760965	ENSMUSG00000097346.1	+
chr1	98589517	98594558	ENSMUSG00000100009.6	+
chr1	98589517	98607384	ENSMUSG00000100009.6	+
chr1	98589518	98607144	ENSMUSG00000100009.6	+
chr3	133645808	133663391	ENSMUSG00000105952.1	-
chr3	133789515	133791504	ENSMUSG00000106069.1	-
chr3	133815919	133818518	ENSMUSG00000104645.1	-
chr13	56362900	56368857	ENSMUSG00000074885.4	+
chr13	56362901	56365769	ENSMUSG00000074885.4	+
chr6	25931426	25977227	ENSMUSG00000106799.1	+
chr6	25954485	25958159	ENSMUSG00000106799.1	+
chr7	34438137	34520885	ENSMUSG00000085124.1	+
chr3	134160365	134191976	ENSMUSG00000104556.1	+
chr3	134199948	134211741	ENSMUSG00000106139.1	+
chr3	134200086	134213238	ENSMUSG00000106139.1	+
chr3	79568192	79572580	ENSMUSG00000068957.1	+
chr14	68044428	68051330	ENSMUSG00000114621.1	-
chr8	46946795	46948799	ENSMUSG00000109759.1	-
chr1	151138034	151142345	ENSMUSG00000102095.1	+
chr15	50897639	50946307	ENSMUSG00000115339.1	+
chr15	51231640	51395610	ENSMUSG00000115654.1	-
chr14	77780974	77794221	ENSMUSG00000115257.1	+
chr14	20794239	20796560	ENSMUSG00000114241.1	+
chr15	51601772	51629635	ENSMUSG00000115563.1	-
chr10	4391587	4396424	ENSMUSG00000095123.1	+
chr12	105899841	105902150	ENSMUSG00000113835.1	+
chrY	24273508	24276742	ENSMUSG00000104500.5	-
chrY	24273928	24276290	ENSMUSG00000104500.5	-
chrY	24273928	24276290	ENSMUSG00000104500.5	-
chr10	18235053	18238060	ENSMUSG00000096977.2	+
chr10	18235366	18246019	ENSMUSG00000096977.2	+
chr9	102739648	102756685	ENSMUSG00000093812.1	+
chrY	24306236	24309585	ENSMUSG00000103236.1	+
chr3	8628051	8632454	ENSMUSG00000104102.1	+
chr7	89426306	89432077	ENSMUSG00000109311.1	+
chr7	89426339	89441928	ENSMUSG00000109311.1	+
chr16	57280890	57281496	ENSMUSG00000097896.1	+
chr14	46645817	46673775	ENSMUSG00000115015.1	-
chr14	46743215	46746399	ENSMUSG00000115690.1	-
chr3	124246237	124318984	ENSMUSG00000104531.1	+
chrY	77751103	77752125	ENSMUSG00000099646.1	-
chr4	22490548	22493126	ENSMUSG00000107859.1	+
chr5	28019465	28071105	ENSMUSG00000097673.1	-
chr5	28053951	28055459	ENSMUSG00000097673.1	-
chrY	61773101	61776445	ENSMUSG00000100606.1	-
chrY	61808456	61811695	ENSMUSG00000099355.1	+
chrY	61808909	61811274	ENSMUSG00000099355.1	+
chrY	61789649	61815122	ENSMUSG00000101170.1	-
chr7	15971883	15984654	ENSMUSG00000109984.1	+
chr4	54151831	54163678	ENSMUSG00000086987.1	-
chr6	86483376	86488204	ENSMUSG00000101655.1	-
chr6	86483376	86488227	ENSMUSG00000101655.1	-
chr9	14204083	14218183	ENSMUSG00000111803.1	+
chr4	54645811	54646280	ENSMUSG00000099421.1	-
chr9	14249625	14250939	ENSMUSG00000111695.1	-
chr4	54651903	54656077	ENSMUSG00000087077.1	+
chr9	14259041	14263803	ENSMUSG00000111097.1	-
chr4	54646542	54689451	ENSMUSG00000086371.1	+
chr12	6699753	6803300	ENSMUSG00000112454.1	+
chrY	34335629	34336075	ENSMUSG00000101654.1	+
chr1	182287990	182303325	ENSMUSG00000100147.2	+
chr1	182300834	182303287	ENSMUSG00000100147.2	+
chrY	34410916	34414265	ENSMUSG00000101808.1	+
chr9	116189180	116194886	ENSMUSG00000111243.1	+
chr15	34021995	34037780	ENSMUSG00000115428.1	-
chr6	86493216	86493909	ENSMUSG00000107876.1	-
chr7	67204082	67222458	ENSMUSG00000097527.2	-
chr7	67222010	67222536	ENSMUSG00000097527.2	-
chr13	65336222	65348597	ENSMUSG00000113406.1	-
chr9	116199297	116200612	ENSMUSG00000111729.1	+
chr9	116218802	116249753	ENSMUSG00000111324.1	+
chrY	34468990	34470529	ENSMUSG00000100500.1	-
chr9	116327337	116339511	ENSMUSG00000110752.1	+
chr9	116331168	116339508	ENSMUSG00000110752.1	+
chr7	80155169	80156771	ENSMUSG00000108757.1	+
chrY	77818761	77822104	ENSMUSG00000100063.1	-
chr14	48590599	48596402	ENSMUSG00000115636.1	+
chrY	34670134	34673374	ENSMUSG00000099463.6	-
chrY	34670554	34672920	ENSMUSG00000099463.6	-
chrY	34670554	34672920	ENSMUSG00000099463.6	-
chr8	8716924	8721308	ENSMUSG00000109190.1	-
chr12	7372039	7380330	ENSMUSG00000102096.1	-
chrY	34705341	34708688	ENSMUSG00000100745.1	+
chr8	8735970	8755337	ENSMUSG00000109062.1	+
chr8	8727111	8853647	ENSMUSG00000109371.1	+
chr1	170175180	170176319	ENSMUSG00000104266.1	+
chr1	170175382	170177772	ENSMUSG00000103908.1	-
chr9	51621425	51655127	ENSMUSG00000078308.2	-
chr14	68218253	68223811	ENSMUSG00000114925.1	+
chr14	68461631	68496417	ENSMUSG00000114396.1	+
chr13	97796162	97825885	ENSMUSG00000114348.1	-
chr13	97865841	97876662	ENSMUSG00000114474.1	-
chr4	22928167	22938435	ENSMUSG00000028244.6	-
chr3	28802804	28805336	ENSMUSG00000103827.1	-
chrY	34763132	34764675	ENSMUSG00000099651.1	-
chr7	30347645	30353321	ENSMUSG00000109049.1	-
chr4	23260784	23392503	ENSMUSG00000087098.1	+
chr8	8920937	8932699	ENSMUSG00000109346.1	-
chr4	11999474	12009043	ENSMUSG00000085027.1	-
chrY	62128751	62131989	ENSMUSG00000101285.6	+
chrY	62129204	62131569	ENSMUSG00000101285.6	+
chr14	48636141	48639714	ENSMUSG00000115376.1	+
chr14	48636329	48642002	ENSMUSG00000115376.1	+
chr14	48643461	48649774	ENSMUSG00000115669.1	+
chr10	24447490	24452657	ENSMUSG00000086148.1	+
chr13	65380329	65382097	ENSMUSG00000112935.1	+
chr13	65380343	65382018	ENSMUSG00000112935.1	+
chr1	30718560	30719962	ENSMUSG00000053185.2	-
chr12	36264925	36291051	ENSMUSG00000113832.1	+
chr6	69326937	69327174	ENSMUSG00000106222.1	-
chr8	113067262	113093334	ENSMUSG00000110541.1	+
chr13	65590296	65591536	ENSMUSG00000097562.2	-
chr13	65493490	65630774	ENSMUSG00000113618.1	+
chr13	65491789	65496793	ENSMUSG00000113955.1	-
chr13	65615824	65620243	ENSMUSG00000113135.1	-
chr8	9144669	9149050	ENSMUSG00000109215.1	+
chr12	7524002	7859691	ENSMUSG00000112323.1	-
chr12	7755306	7859766	ENSMUSG00000112323.1	-
chr8	9152600	9157221	ENSMUSG00000109124.1	-
chr15	84906642	84913731	ENSMUSG00000116491.1	+
chr7	43511165	43516318	ENSMUSG00000108695.1	-
chr7	43511168	43518970	ENSMUSG00000108695.1	-
chr7	43515568	43518547	ENSMUSG00000108695.1	-
chr7	127434422	127439392	ENSMUSG00000108483.1	+
chrY	62648296	62651535	ENSMUSG00000101614.1	+
chrY	62648749	62651115	ENSMUSG00000101614.1	+
chr4	23933488	23933954	ENSMUSG00000100395.1	-
chr16	11178176	11192292	ENSMUSG00000096959.1	+
chr12	111941991	111944484	ENSMUSG00000113769.1	-
chr12	111942347	111944475	ENSMUSG00000113769.1	-
chr12	111942686	111944146	ENSMUSG00000113769.1	-
chr12	111942688	111944411	ENSMUSG00000113769.1	-
chr10	58696745	58704277	ENSMUSG00000091526.2	+
chr10	58703995	58704279	ENSMUSG00000091526.2	+
chr12	111950517	111954152	ENSMUSG00000113088.1	+
chrY	62878705	62881941	ENSMUSG00000101668.1	+
chrY	62879157	62881521	ENSMUSG00000101668.1	+
chr14	78019728	78048336	ENSMUSG00000115517.1	+
chrY	62874899	62885362	ENSMUSG00000101182.1	-
chr3	34416495	34418162	ENSMUSG00000105577.1	+
chr14	78070717	78090786	ENSMUSG00000092272.1	+
chr3	34565265	34572202	ENSMUSG00000106525.1	-
chr3	34427373	34435097	ENSMUSG00000092242.1	-
chr3	34481428	34482207	ENSMUSG00000099437.1	-
chr3	34598519	34602248	ENSMUSG00000105222.1	-
chr3	34298172	34351712	ENSMUSG00000092196.2	-
chr8	19163520	19164808	ENSMUSG00000110542.1	-
chr8	19163534	19188015	ENSMUSG00000110542.1	-
chr12	36326341	36331936	ENSMUSG00000114141.1	+
chr12	36330479	36331936	ENSMUSG00000114141.1	+
chr4	24430370	24430890	ENSMUSG00000099150.1	-
chr8	82184799	82207386	ENSMUSG00000110045.1	-
chr8	82189108	82207535	ENSMUSG00000110045.1	-
chrY	63164534	63167772	ENSMUSG00000099699.1	+
chrY	63164986	63167352	ENSMUSG00000099699.1	+
chr7	99625936	99629133	ENSMUSG00000097974.1	+
chr7	99626139	99631711	ENSMUSG00000097974.1	+
chrX	25917944	25954696	ENSMUSG00000086959.1	-
chr6	86513891	86516273	ENSMUSG00000107689.1	-
chrX	150848838	150849378	ENSMUSG00000098311.1	-
chr9	72179183	72179758	ENSMUSG00000099020.1	-
chr8	9167517	9174793	ENSMUSG00000109064.1	+
chr9	90303800	90318448	ENSMUSG00000111666.1	+
chr1	186749396	186752921	ENSMUSG00000097784.1	+
chr1	186926933	186930112	ENSMUSG00000103503.1	+
chr1	186926962	186929326	ENSMUSG00000103503.1	+
chr15	51897087	51899767	ENSMUSG00000115616.1	+
chr9	72207706	72230306	ENSMUSG00000099190.1	-
chr12	7911889	7950061	ENSMUSG00000112006.1	-
chr13	72626213	72628564	ENSMUSG00000093587.3	-
chr9	90825302	90828860	ENSMUSG00000099512.1	-
chr9	14335612	14343063	ENSMUSG00000111555.1	+
chr14	121451730	121455762	ENSMUSG00000115123.1	-
chr7	34544472	34556172	ENSMUSG00000086631.2	+
chr7	34547206	34581691	ENSMUSG00000086631.2	+
chr1	49244616	49340443	ENSMUSG00000051616.14	+
chr1	49244616	49338246	ENSMUSG00000051616.14	+
chr11	22438821	22439775	ENSMUSG00000085856.1	-
chr11	22483608	22491363	ENSMUSG00000085021.1	+
chr11	22617408	22618487	ENSMUSG00000086256.1	+
chr1	50107470	50108962	ENSMUSG00000099608.1	+
chr7	13093172	13098674	ENSMUSG00000110268.1	+
chr19	38051774	38054528	ENSMUSG00000069554.4	-
chr19	38051884	38054528	ENSMUSG00000069554.4	-
chr1	50397552	50398079	ENSMUSG00000100451.1	-
chr12	31082581	31089470	ENSMUSG00000112876.1	-
chr12	31089241	31090561	ENSMUSG00000112876.1	-
chr12	79917019	79924733	ENSMUSG00000112765.1	-
chr12	79917569	79925494	ENSMUSG00000112765.1	-
chr12	79917845	79936264	ENSMUSG00000112765.1	-
chr13	65976343	65982781	ENSMUSG00000113559.1	-
chr13	65976627	65979386	ENSMUSG00000113559.1	-
chr13	65976720	65982791	ENSMUSG00000113559.1	-
chr15	76095575	76097668	ENSMUSG00000116288.1	+
chr8	113667926	113676458	ENSMUSG00000110582.1	-
chr13	65994049	65995400	ENSMUSG00000113173.1	-
chr9	42946801	42947443	ENSMUSG00000110749.1	+
chr9	102771495	102790260	ENSMUSG00000110884.1	+
chr9	90938980	90939195	ENSMUSG00000099406.1	+
chr11	22729897	22732986	ENSMUSG00000085979.1	-
chrY	24564331	24567568	ENSMUSG00000102350.5	-
chrY	24564751	24567115	ENSMUSG00000102350.5	-
chrY	24564751	24567115	ENSMUSG00000102350.5	-
chr11	22734038	22737937	ENSMUSG00000085803.1	+
chr12	13607789	13627646	ENSMUSG00000113666.1	-
chr3	28852033	28854257	ENSMUSG00000104275.1	-
chr12	13668853	13676084	ENSMUSG00000113283.1	+
chr13	66032209	66040247	ENSMUSG00000113760.1	+
chr13	66177347	66178100	ENSMUSG00000113156.1	+
chr12	92010419	92012411	ENSMUSG00000113236.1	+
chr7	67429073	67443933	ENSMUSG00000109329.1	-
chr13	66244270	66305329	ENSMUSG00000114616.1	+
chr13	66244270	66451277	ENSMUSG00000114616.1	+
chr9	32348682	32361611	ENSMUSG00000111056.1	+
chr9	32349289	32361738	ENSMUSG00000111056.1	+
chrY	34963858	34967095	ENSMUSG00000099390.6	-
chrY	34964278	34966642	ENSMUSG00000099390.6	-
chrY	34964278	34966642	ENSMUSG00000099390.6	-
chr14	121507013	121519130	ENSMUSG00000115390.1	-
chr14	121510503	121519112	ENSMUSG00000115390.1	-
chr11	59898374	59907319	ENSMUSG00000084766.1	+
chr11	59921499	59921889	ENSMUSG00000085551.1	+
chr10	102415883	102418014	ENSMUSG00000111990.1	+
chrY	63684343	63687582	ENSMUSG00000099520.1	+
chrY	63684796	63687162	ENSMUSG00000099520.1	+
chrY	34999098	35002441	ENSMUSG00000100422.1	+
chrY	63680536	63691008	ENSMUSG00000101119.1	-
chr5	109769407	109796298	ENSMUSG00000105471.1	-
chr9	72268614	72274856	ENSMUSG00000098340.1	-
chr1	101155809	101175202	ENSMUSG00000100684.1	+
chr5	109886231	109891137	ENSMUSG00000097140.1	+
chr5	109995511	109996398	ENSMUSG00000097863.1	-
chr1	101892958	101895091	ENSMUSG00000099375.1	-
chrY	63901888	63905126	ENSMUSG00000101125.1	+
chrY	63902341	63904706	ENSMUSG00000101125.1	+
chr1	177467378	177476267	ENSMUSG00000103043.1	+
chr8	95808552	95817678	ENSMUSG00000110489.1	-
chr8	95808552	95818274	ENSMUSG00000110489.1	-
chr8	95808713	95817691	ENSMUSG00000110489.1	-
chr1	177589021	177594522	ENSMUSG00000102885.1	-
chr7	120593151	120615704	ENSMUSG00000109113.1	+
chr7	120611600	120622117	ENSMUSG00000109113.1	+
chr7	120615619	120629769	ENSMUSG00000109113.1	+
chr1	50815375	50817701	ENSMUSG00000100816.1	+
chr9	91337601	91340878	ENSMUSG00000101608.1	+
chr12	14013084	14057866	ENSMUSG00000113522.1	+
chr12	14030352	14033321	ENSMUSG00000114026.1	+
chr1	177641542	177642943	ENSMUSG00000101746.1	-
chrY	24786618	24789853	ENSMUSG00000103615.5	-
chrY	24787038	24789401	ENSMUSG00000103615.5	-
chrY	24787038	24789401	ENSMUSG00000103615.5	-
chr14	48668708	48672413	ENSMUSG00000098682.8	+
chr14	48668923	48870683	ENSMUSG00000098682.8	+
chr14	48668947	48793281	ENSMUSG00000098682.8	+
chr14	48669288	48793348	ENSMUSG00000098682.8	+
chr14	48670159	48719823	ENSMUSG00000098682.8	+
chr14	48670262	48717762	ENSMUSG00000098682.8	+
chr14	48673666	48855915	ENSMUSG00000098682.8	+
chr9	79026940	79029752	ENSMUSG00000111363.1	-
chr9	79159621	79202007	ENSMUSG00000110923.1	-
chr9	79215121	79267651	ENSMUSG00000111638.1	-
chr9	79238620	79239058	ENSMUSG00000102020.1	+
chr5	37807306	37808078	ENSMUSG00000107131.1	+
chr9	79378119	79390855	ENSMUSG00000111633.1	-
chr12	93416458	93444823	ENSMUSG00000113164.1	-
chrY	206151	207788	ENSMUSG00000101796.1	+
chr12	102447328	102467609	ENSMUSG00000113265.1	+
chr14	48727414	48740809	ENSMUSG00000115579.1	-
chr7	34636996	34637712	ENSMUSG00000108723.1	-
chr8	9800194	9811974	ENSMUSG00000109183.1	+
chrY	24819391	24822739	ENSMUSG00000104431.1	+
chr12	106084370	106088657	ENSMUSG00000113427.1	+
chrY	25077341	25080578	ENSMUSG00000103977.5	-
chrY	25077761	25080125	ENSMUSG00000103977.5	-
chrY	25077761	25080125	ENSMUSG00000103977.5	-
chr9	79444037	79519302	ENSMUSG00000111765.1	-
chr12	106094823	106098971	ENSMUSG00000113390.1	-
chr12	106131978	106145400	ENSMUSG00000114149.1	-
chr12	106327368	106330821	ENSMUSG00000091280.1	+
chr13	30784433	30795226	ENSMUSG00000113515.1	-
chrY	64116692	64119931	ENSMUSG00000100452.1	+
chrY	64117147	64119511	ENSMUSG00000100452.1	+
chrY	25112581	25115921	ENSMUSG00000102643.1	+
chr12	106442653	106447666	ENSMUSG00000092066.1	-
chr10	18796806	18831930	ENSMUSG00000110737.1	-
chrY	321659	323295	ENSMUSG00000101492.1	-
chr12	14261534	14285684	ENSMUSG00000113336.1	+
chr12	14261556	14285725	ENSMUSG00000113336.1	+
chr10	95336276	95363216	ENSMUSG00000100550.2	+
chr10	95354888	95363209	ENSMUSG00000100550.2	+
chr10	95361598	95366202	ENSMUSG00000100550.2	+
chr14	7374667	7412375	ENSMUSG00000071591.3	-
chr14	7375423	7381919	ENSMUSG00000071591.3	-
chr14	7375423	7404092	ENSMUSG00000071591.3	-
chr7	43561319	43561676	ENSMUSG00000108411.1	+
chr14	7412460	7508369	ENSMUSG00000090585.8	+
chr14	7412473	7422685	ENSMUSG00000090585.8	+
chr14	7412480	7423584	ENSMUSG00000090585.8	+
chr14	7412480	7445690	ENSMUSG00000090585.8	+
chr12	31168862	31185901	ENSMUSG00000095953.2	+
chr12	31184623	31185177	ENSMUSG00000095953.2	+
chr18	82754505	82759041	ENSMUSG00000101773.1	-
chr3	134404143	134423635	ENSMUSG00000105765.1	-
chr12	73355081	73361997	ENSMUSG00000113425.1	+
chr12	73364075	73409557	ENSMUSG00000056359.6	-
chr12	73364075	73371445	ENSMUSG00000056359.6	-
chr3	134462087	134630765	ENSMUSG00000097031.2	-
chr12	73448318	73449215	ENSMUSG00000113582.1	+
chr12	73452142	73456907	ENSMUSG00000114178.1	-
chr12	73489915	73508670	ENSMUSG00000113099.1	-
chr4	103217702	103219592	ENSMUSG00000107726.1	+
chr2	60037141	60038837	ENSMUSG00000085975.1	+
chrX	38705481	38737762	ENSMUSG00000085635.1	-
chr12	36877965	36903033	ENSMUSG00000113064.1	+
chr12	36945251	36952555	ENSMUSG00000113507.1	-
chr12	36945251	36952555	ENSMUSG00000113507.1	-
chr19	23134900	23135717	ENSMUSG00000044387.5	+
chr6	34651354	34653894	ENSMUSG00000085382.1	-
chr13	72769431	72786342	ENSMUSG00000113837.1	+
chr9	58370504	58374183	ENSMUSG00000100487.1	+
chr13	72809601	72816763	ENSMUSG00000113082.1	-
chr2	60125096	60125819	ENSMUSG00000086603.1	+
chr12	80018415	80081434	ENSMUSG00000111933.1	-
chr12	80091367	80101172	ENSMUSG00000112386.1	+
chr6	141866358	141875220	ENSMUSG00000107516.1	+
chr18	83106528	83107860	ENSMUSG00000100430.1	-
chr9	51914427	51915981	ENSMUSG00000111836.1	+
chr9	51914427	51915987	ENSMUSG00000111836.1	+
chr9	51914429	51927003	ENSMUSG00000111836.1	+
chr9	51914447	51924682	ENSMUSG00000111836.1	+
