gene	chr	strand	start	end	ESC_WT-1	ESC_WT-2	ESC_TET1KO-1	ESC_TET1KO-2	ESC_TET2KO-1	ESC_TET2KO-2	day3_WT-1	day3_WT-2	day3_TET1KO-1	day3_TET1KO-2	day3_TET2KO-1	day3_TET2KO-2	day6_WT-1	day6_WT-2	day6_TET1KO-1	day6_TET1KO-2	day6_TET2KO-1	day6_TET2KO-2
2610019E17Rik	chr17	+	24665195	24665689	14.0546	21.4906	17.2864	16.7488	17.1301	27.0008	19.8894	16.2382	14.2787	14.1775	18.1185	20.538	13.4058	10.48	6.2904	5.7228	13.0697	12.889
Cntnap5c	chr17	+	57908992	58549765	0.05	0.0546	0.05	0.05	0.05	0.05	0.0548	0.0554	0.0554	0.0548	0.0586	0.0556	0.0558	0.05	0.0555	0.0551	0.0696	0.05
Notch4	chr17	+	34701239	34725488	1.5544	1.8472	2.2436	2.1242	1.7529	2.9369	0.3445	0.3176	0.2275	0.2336	0.36	0.3319	0.5949	0.4924	0.4941	0.3095	0.2855	0.2302
1110001A16Rik	chr17	+	79315838	79320388	14.3096	10.5131	16.5153	13.6684	11.8523	11.2177	7.2798	5.9316	6.4012	6.4856	5.1946	6.2736	9.3524	8.1845	5.3131	7.9124	8.7572	7.5743
B930003M22Rik	chr17	+	10512783	10514006	0.6666	0.5553	0.8345	0.5853	0.7257	0.7592	0.3711	0.2908	0.3462	0.2359	0.4927	0.3007	0.4597	0.4517	0.5226	0.3467	0.8037	0.7933
Noxo1	chr17	+	24833178	24837474	0.5481	0.5373	0.5501	0.6058	0.4553	0.5596	0.192	0.2004	0.3451	0.1854	0.2617	0.3044	0.3248	0.2464	0.2317	0.3293	0.2988	0.3885
Vit	chr17	+	78907402	79026749	0.05	0.07	0.0735	0.056	0.0796	0.05	0.05	0.05	0.0578	0.05	0.05	0.05	0.4938	0.3447	0.0657	0.0797	0.3677	0.1694
H2-M3	chr17	+	37407178	37411430	0.7863	0.4326	0.5886	0.3142	0.5309	0.3205	1.7952	1.1425	1.0069	1.1534	0.8931	1.1411	0.6094	0.6306	0.2002	0.4886	0.4947	0.4449
0610011F06Rik	chr17	+	26012444	26014108	14.9685	11.4347	12.8655	13.2678	11.2332	8.5462	13.0536	11.5675	10.6115	11.4723	11.5465	12.6868	23.3298	22.6859	16.6786	18.3229	25.1976	21.2126
Mrps18a	chr17	+	46247952	46265857	24.2239	26.3662	26.2184	25.3187	18.595	21.168	28.3141	26.4687	30.4074	30.6143	23.1797	24.2295	30.5212	28.5993	25.9652	26.9798	25.2553	24.6739
Ager	chr17	+	34734806	34737877	0.409	0.4878	0.5635	0.4084	1.0651	0.7417	0.5686	0.8024	0.7654	0.4787	0.4205	0.5295	1.463	1.5598	1.8937	1.7277	1.0873	1.298
Olfr111	chr17	+	37666901	37667942	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gpsm3	chr17	+	34726750	34728699	2.2961	2.6755	1.6692	1.2686	1.3856	2.3223	2.0271	1.6165	1.3668	1.0938	1.2722	1.3381	1.3727	1.1281	1.0063	1.236	1.0653	1.0169
Morn2	chr17	+	80689551	80696816	3.4961	3.2243	2.126	1.9218	2.1371	2.2842	1.4372	1.4482	1.3014	1.5432	1.41	1.5392	4.1684	3.327	2.4321	3.8519	2.662	3.0606
Zbtb12	chr17	+	35031503	35033789	6.161	5.9136	5.6965	6.4091	6.2996	6.177	8.0185	8.4077	9.0024	9.5477	10.1751	9.9073	18.9272	18.0717	14.0485	15.3998	19.4529	17.5885
BC003965	chr17	+	25321505	25324607	5.9721	6.4952	7.0954	5.8861	5.777	6.3886	6.8663	6.7517	6.8586	7.1061	6.9518	6.7434	6.5742	5.8918	4.7731	6.6263	6.2756	6.1928
Olfr127	chr17	+	38040492	38041464	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0719	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Fpr2	chr17	+	18024787	18030916	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0829	0.05	0.05	0.0669	0.05	0.05	0.0665	0.05	0.05	0.05
Prr22	chr17	+	56909698	56911557	0.4386	0.5481	0.2869	0.3046	0.3486	0.7995	0.3547	0.6889	0.6655	0.471	0.3508	0.2933	0.573	0.3947	0.4781	0.4532	0.4056	0.1943
Zfp959	chr17	+	56031515	56038353	1.9469	2.0469	1.9622	2.1743	2.1664	1.9552	2.5043	3.2409	2.826	2.8405	2.2875	2.5092	2.4304	2.4257	2.1105	2.4514	2.2439	1.6598
Vmn1r237	chr17	+	21450980	21451850	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
D17H6S53E	chr17	+	35263346	35265800	2.1321	2.23	3.1938	3.0445	2.7044	2.4675	2.152	2.227	2.3952	2.4647	2.1353	1.9452	3.1673	2.8715	3.4834	3.0658	2.6786	2.7274
Arid1b	chr17	+	4995073	5347656	4.0194	3.3512	3.9271	3.0313	2.9793	2.9787	4.7556	5.8309	4.7535	4.722	4.8447	4.4954	7.4987	7.4746	6.9718	7.2693	6.3988	6.4674
Trem1	chr17	+	48371921	48386091	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0556	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Tulp4	chr17	+	6106829	6240637	3.8298	2.5009	7.1735	5.5191	5.2792	4.8361	4.4312	5.3504	6.5136	6.0368	5.2106	5.1566	8.007	7.6445	10.307	9.0569	8.0875	8.7704
Crb3	chr17	+	57201699	57205337	9.41	7.8169	5.0295	3.9433	1.6366	2.3008	20.1234	17.557	19.4769	21.0422	16.4736	17.6672	7.8122	10.8308	12.6233	9.9916	3.522	6.7339
Jmjd8	chr17	+	25965987	25968788	4.2504	4.8979	4.9417	4.8221	6.4278	6.3226	4.5995	4.9976	3.7471	3.817	4.4502	4.5197	6.3641	6.2297	5.5755	4.7533	5.7139	6.4022
Ccnd3	chr17	+	47641999	47736637	51.583	37.7113	50.7927	40.1103	63.8133	71.851	15.4721	14.8507	18.3966	17.4514	18.656	19.3128	37.0733	42.6323	29.2891	35.2538	46.1737	50.3364
Lama1	chr17	+	68046604	68171985	9.9954	12.2712	19.9272	20.4859	23.4126	14.4562	0.5647	0.4921	0.8447	0.7605	0.9442	1.0738	5.7089	5.79	7.0647	5.1319	5.7156	5.0662
Zfp758	chr17	+	22498419	22514248	3.6552	4.3707	5.9642	4.4799	3.2758	3.0528	2.4895	3.2261	3.2453	3.2859	2.6275	2.9217	3.0595	2.58	3.0946	3.0398	2.7879	2.5607
Trem3	chr17	+	48386943	48398207	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
T2	chr17	+	8565260	8615591	1.0974	1.2423	0.579	0.3207	0.4294	0.3157	0.3273	0.422	0.3174	0.3202	0.3492	0.2249	0.4268	0.4187	0.3309	0.4526	0.543	0.3216
H2-DMb1	chr17	+	34290135	34297174	1.5056	1.0833	1.644	1.1971	0.8819	0.7755	0.6325	0.2794	0.3819	0.5074	0.3004	0.4764	0.3161	0.4527	0.4001	0.2384	0.3192	0.4377
Nrm	chr17	+	35998262	36002345	12.3905	9.957	13.4185	12.0226	13.8994	15.3217	7.8921	6.344	5.2312	5.6529	7.5629	7.7234	11.8572	12.1479	9.3786	10.324	10.4784	12.335
Rsph3a	chr17	+	8138478	8172421	0.8363	0.5415	0.3437	0.2838	0.3071	0.1647	1.2711	1.7459	0.7675	0.7362	0.8184	0.8544	3.9309	3.7701	2.551	2.4777	2.4309	3.1529
Hmga1-rs1	chr17	+	27693597	27700616	265.0849	335.4448	297.9056	248.1076	278.4827	355.645	638.0437	665.791	580.2671	605.9064	608.879	593.1139	367.8569	349.4857	221.4198	331.3228	338.0963	329.2963
Olfr108	chr17	+	37582424	37583462	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gm14872	chr17	+	47824558	47828041	0.2166	0.2346	0.2882	0.2495	0.3298	0.4035	0.2083	0.1925	0.1582	0.1719	0.2047	0.2576	0.212	0.2952	0.2095	0.1729	0.2191	0.2479
Psmb8	chr17	+	34335139	34338399	0.05	0.05	0.0761	0.0768	0.0665	0.05	7.1288	3.9892	5.1894	5.239	3.9932	4.2578	1.7073	2.3967	1.2752	3.3307	1.0707	1.4657
Olfr119	chr17	+	37833629	37838582	0.05	0.05	0.05	0.05	0.05	0.05	0.0681	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Vmn1r234	chr17	+	21365789	21366779	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ranbp3	chr17	+	56812647	56851192	16.9322	19.7323	22.3858	21.6412	21.8686	24.2733	21.8428	23.652	26.6874	26.4383	24.2507	22.1967	20.6776	19.868	18.1791	20.8982	18.6552	18.1804
Fsd1	chr17	+	56125933	56136304	3.3701	4.5626	3.1967	4.1321	4.5467	5.0761	10.1587	8.932	7.4611	7.4194	9.44	10.2976	8.1018	7.3719	5.5485	5.1483	5.697	4.3588
LOC547349	chr17	+	35402723	35462354	2.0422	1.6144	2.2359	3.2817	2.7543	2.1644	7.5294	8.252	5.2284	4.4622	5.8761	5.7048	7.2571	8.4941	10.0214	13.6277	8.7526	8.488
Tnfsf9	chr17	+	57244807	57247180	0.7431	1.0991	0.31	0.3826	0.5743	1.2122	0.9317	1.7262	1.5571	1.6517	1.6321	1.225	1.8645	1.8788	1.3552	1.9679	1.8923	1.6864
Gm20098	chr17	+	52022051	52104582	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0551	0.05	0.05	0.05	0.0565	0.05	0.05	0.05
Vmn1r225	chr17	+	20639262	20640159	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Six3	chr17	+	86020173	86025531	0.1124	0.0895	0.1195	0.0722	0.0664	0.0718	0.0957	0.1358	0.2526	0.2971	0.1098	0.1095	0.0748	0.0922	0.2827	0.3787	0.1335	0.2617
Tpsb2	chr17	+	25503277	25505037	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
L3mbtl4	chr17	+	68623136	69129426	0.0572	0.05	0.057	0.05	0.0544	0.0535	0.0582	0.0592	0.078	0.0624	0.05	0.0644	0.05	0.0557	0.0687	0.0721	0.0584	0.0547
Tbc1d22b	chr17	+	29686746	29743753	7.5638	6.36	8.2395	6.5242	6.2967	4.6601	8.5664	7.9986	7.4778	7.7556	7.6261	7.4958	7.9502	8.4045	6.3289	7.3098	6.7337	6.9688
H2-M10.5	chr17	+	36909854	36913180	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Snora64	chr17	+	24857733	24857850	14.6226	11.0794	15.9031	12.4993	11.4192	14.327	17.3101	15.8731	22.0854	15.5936	16.2482	18.0179	12.897	19.2762	7.5513	12.1129	13.3451	10.0391
Mllt4	chr17	+	13897547	14042801	16.7529	15.5271	14.2833	12.8492	12.5091	10.0159	30.4164	27.7894	21.126	21.8598	25.9351	26.1424	24.9867	28.466	33.6363	29.2626	25.8557	33.6445
Yipf3	chr17	+	46385028	46389486	9.7335	11.616	11.1603	10.9552	14.9554	15.9853	9.3579	10.0881	10.2794	9.7313	8.8474	8.2605	10.6482	13.302	10.6531	10.047	9.2038	10.2493
Plcl2	chr17	+	50648871	50827819	0.7137	0.6602	1.8894	1.0762	0.4381	0.3434	1.6424	2.4544	1.6279	1.4903	1.4326	1.2176	3.1758	3.5796	5.5825	3.8276	2.8185	3.2502
1700067P10Rik	chr17	+	48226581	48227870	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0768	0.05	0.05	0.05	0.0787	0.1151	0.05	0.05	0.05	0.05
Vmn2r103	chr17	+	19910326	19949500	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0667	0.05	0.05	0.05
Mrpl28	chr17	+	26260447	26263558	35.0244	39.899	45.1516	41.7408	39.867	44.4041	44.9966	40.367	46.9052	50.8691	46.8577	46.8899	35.8473	33.1894	31.4656	39.9961	37.7729	36.8329
Luc7l	chr17	+	26389854	26422451	9.3934	12.5256	11.0231	12.5982	11.9739	13.9284	15.1221	15.2195	16.0944	16.1276	15.2501	15.3815	13.6919	14.1703	10.9369	12.6682	12.3028	15.0037
Olfr109	chr17	+	37603152	37604097	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.07	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Zfp97	chr17	+	17258346	17283842	7.9771	5.8716	10.4899	7.6317	9.3504	6.334	3.5691	3.4078	4.299	4.1569	3.9756	4.2743	2.5475	2.1087	2.7229	2.8376	3.3028	2.9248
Gm8801	chr17	+	36084098	36090262	0.1729	0.1863	3.1503	1.6279	2.1658	1.7018	0.1902	0.219	2.1841	2.3127	1.2554	1.2229	0.355	0.2162	1.9533	2.0803	1.1095	1.0701
Bag6	chr17	+	35272122	35284267	40.5396	40.723	50.1743	40.9607	40.8449	42.7282	40.335	40.1227	47.2176	45.6855	42.1286	43.2543	37.9922	39.7497	36.2865	38.059	33.5036	39.051
Gm20410	chr17	+	38691136	38697566	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Agpat1	chr17	+	34742805	34750394	31.4559	28.0752	32.1289	25.8156	23.3534	23.1408	20.2839	18.6971	15.2382	15.0335	16.4606	16.3013	25.2604	24.1272	19.4323	21.5458	19.4927	21.693
Fam179a	chr17	+	72022600	72079009	0.0874	0.0708	0.0591	0.0687	0.073	0.0592	0.0553	0.05	0.05	0.05	0.0597	0.05	0.0565	0.0574	0.0561	0.0615	0.0555	0.0562
H2-Q1	chr17	+	35457502	35462044	0.6008	0.3643	0.7926	0.4947	0.4384	0.3119	2.0547	1.2557	1.7133	2.0249	1.5047	1.8027	0.4101	0.5482	1.1711	1.4546	0.7616	0.7771
Adcyap1	chr17	+	93598761	93604829	0.144	0.1108	0.1876	0.2299	0.2041	0.0884	0.0947	0.0902	0.2231	0.1043	0.1228	0.1756	0.1371	0.1612	0.0807	0.0693	0.1418	0.1224
Med20	chr17	+	47748544	47761367	4.9201	6.8657	4.7372	6.1551	7.0053	7.136	7.5844	7.1347	7.6119	7.4975	6.495	6.5229	6.8711	7.2998	6.2724	6.6719	5.8395	5.5668
Cyp4f17	chr17	+	32643406	32665839	3.478	3.1526	3.4312	3.8104	3.9666	2.8392	4.2469	4.9459	4.3038	4.0782	3.5282	3.4518	2.6462	3.2266	2.25	1.6458	1.9443	2.4917
Tpsg1	chr17	+	25507497	25511387	0.1308	0.0649	0.05	0.05	0.05	0.05	0.05	0.0673	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Dcpp3	chr17	+	24054424	24056408	0.3725	0.199	0.05	0.05	0.05	0.05	0.05	0.0845	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Neurl1b	chr17	+	26551909	26583287	0.1719	0.1734	0.0862	0.1637	0.1477	0.1097	0.4277	0.3764	0.3737	0.3408	0.3699	0.4464	0.4107	0.7812	0.6242	0.4019	0.4224	0.7705
Fem1a	chr17	+	56396215	56403031	3.1576	3.0819	4.5119	3.6685	2.7467	2.7693	2.9277	3.5377	3.9075	3.9021	2.8528	2.5335	4.2233	3.7638	3.5015	3.8482	3.4761	3.0411
Sfta2	chr17	+	35786652	35787514	0.1796	0.1578	0.05	0.05	0.0898	0.05	0.087	0.05	0.05	0.05	0.0834	0.05	0.05	0.05	0.05	0.05	0.05	0.0928
Ly6g5c	chr17	+	35245244	35248898	0.4872	0.4539	0.6896	0.7046	0.677	0.6211	0.05	0.05	0.1447	0.0921	0.1628	0.1473	0.05	0.05	0.05	0.05	0.05	0.05
Lhfpl5	chr17	+	28712663	28720538	0.2078	0.1812	0.2295	0.1419	0.1631	0.3334	0.185	0.1512	0.1354	0.2627	0.3621	0.4012	0.0683	0.0915	0.05	0.05	0.0654	0.05
Fgd2	chr17	+	29497858	29516480	0.4747	0.7216	0.5008	0.3493	0.3648	0.3682	2.187	1.8212	1.4705	2.1717	1.7582	1.8186	0.6747	0.9956	1.1998	1.11	0.4743	0.6271
Olfr126	chr17	+	37987538	37988498	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Rnf39	chr17	+	37079995	37084931	0.1634	0.3014	0.2048	0.2198	0.2312	0.3277	0.1793	0.2391	0.2121	0.1679	0.2138	0.156	0.0815	0.0679	0.05	0.05	0.0766	0.065
Msh2	chr17	+	88071896	88123053	61.2709	71.9361	94.8898	89.8804	67.201	60.8538	68.7131	63.7064	69.6321	70.8411	71.8826	76.7301	38.5785	37.4549	31.0523	35.4661	40.4124	37.6136
Ccdc64b	chr17	+	23797489	23805586	0.2035	0.2864	0.0833	0.2629	0.1024	0.1001	1.3731	1.5277	1.9789	2.0607	1.2297	1.5198	0.2988	0.3998	0.3284	0.3227	0.1399	0.2302
Gm6084	chr17	+	40864068	40868731	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Fgfr1op	chr17	+	8358382	8389335	10.6641	11.8979	10.088	10.8534	12.7536	11.3807	15.3633	15.0444	13.6489	13.8704	15.1955	16.5606	13.3434	13.2977	8.7848	11.6846	14.5352	14.7074
Prss32	chr17	+	23990738	23996743	0.0949	0.0624	0.0719	0.0724	0.0776	0.094	0.114	0.0788	0.1084	0.1668	0.1775	0.125	0.05	0.0677	0.05	0.0776	0.05	0.0796
Guca1b	chr17	+	47522341	47529916	0.2662	0.3115	0.0883	0.1776	0.5575	0.7048	0.6441	0.4536	0.1522	0.209	0.4355	0.5358	0.2685	0.2825	0.0757	0.05	0.05	0.1019
Ppard	chr17	+	28369698	28438414	6.7646	6.6581	10.892	10.5622	7.1461	6.5685	7.5399	7.5158	7.4458	7.0553	6.7071	6.7597	6.009	6.0841	4.6133	5.714	5.4508	5.8475
Dcpp1	chr17	+	24017842	24019820	0.05	0.05	0.05	0.05	0.05	0.076	0.05	0.05	0.05	0.05	0.0774	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Slc30a6	chr17	+	74794947	74823569	4.7168	4.914	5.7801	5.259	6.6692	6.6714	4.0377	4.2556	4.0739	3.8108	3.8068	3.8023	4.6552	4.3375	4.349	4.9536	4.5171	4.3467
Frs3	chr17	+	47832155	47841235	5.6709	4.5108	5.8168	5.0249	4.1753	3.8942	3.1153	3.0159	2.6747	2.5877	2.5545	3.0655	2.2048	1.9877	1.6743	1.5421	1.876	2.4931
Wdr24	chr17	+	25960571	25965675	5.5941	6.689	7.2632	6.308	6.3845	6.0414	6.6931	6.4719	7.4961	7.2632	6.8753	6.6428	5.4735	5.8987	5.1822	5.5737	5.1872	5.8396
Gm6034	chr17	+	36179905	36195590	0.0701	0.05	0.0696	0.0801	0.05	0.0992	0.05	0.05	0.1022	0.0848	0.05	0.0768	0.0639	0.0658	0.1155	0.1488	0.05	0.103
Ubd	chr17	+	37330836	37333046	19.5411	18.3998	0.1183	0.1373	0.05	0.0671	1.0478	0.4766	0.05	0.05	0.05	0.05	0.5118	0.3811	0.05	0.05	0.05	0.05
Chd1	chr17	+	15841930	15909576	12.2245	13.7308	13.5882	14.0658	12.8279	12.9938	26.3573	28.3462	31.3646	30.1882	26.571	27.4741	22.5856	23.2316	18.3254	21.9592	21.3884	23.2483
Abcg8	chr17	+	85082470	85099673	0.05	0.055	0.05	0.05	0.05	0.05	0.0705	0.0615	0.0617	0.0552	0.0685	0.062	0.05	0.05	0.0676	0.061	0.0658	0.0737
Smoc2	chr17	+	14416512	14541797	0.0616	0.0757	0.0726	0.05	0.0785	0.067	0.149	0.1243	0.2005	0.1303	0.1456	0.1196	1.7066	1.7847	1.146	2.1004	1.3655	2.0294
Pde9a	chr17	+	31523178	31613254	1.5433	1.7143	1.2895	1.0649	1.7588	1.762	1.9615	1.4056	1.2372	1.4451	1.7389	1.6415	0.6238	0.5887	1.0456	0.7729	0.4873	0.7001
Rpl3l	chr17	+	24864773	24873094	0.9956	0.6539	0.6114	0.7375	0.7197	0.5837	0.0734	0.1423	0.2103	0.145	0.103	0.1873	0.0786	0.0824	0.0903	0.05	0.05	0.0636
Umodl1	chr17	+	31091627	31147655	0.0565	0.05	0.0563	0.05	0.05	0.0627	0.0574	0.0542	0.0669	0.0575	0.0668	0.0717	0.0545	0.0551	0.05	0.05	0.05	0.0586
Mir7b	chr17	+	56382410	56382521	0.05	0.05	0.05	0.05	0.05	0.1947	0.2185	0.2395	0.05	0.2207	0.3549	0.4446	0.05	0.05	0.05	0.05	0.05	0.05
Tmem181c-ps	chr17	+	6635807	6646630	0.4391	0.3106	0.4216	0.2483	0.4885	0.3399	0.1841	0.18	0.2133	0.2373	0.1839	0.2178	0.3203	0.2162	0.2934	0.2743	0.2494	0.2908
H2-M10.6	chr17	+	36949119	36952511	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0652	0.05	0.0637	0.1116
Gpr110	chr17	+	43407295	43461355	0.0594	0.0552	0.05	0.05	0.0558	0.0546	0.05	0.05	0.05	0.05	0.0548	0.05	0.0565	0.05	0.1172	0.1133	0.0555	0.0624
Scaf8	chr17	+	3114971	3198859	10.2169	11.7988	11.4624	11.9055	11.9326	13.1583	15.1914	16.1789	16.5735	16.2025	15.0823	15.0189	13.9585	14.4716	13.2284	13.7081	12.6175	13.4852
Zfp952	chr17	+	33130083	33142402	2.1756	2.6844	1.4853	1.6659	2.1874	1.6465	1.9211	2.0922	1.5163	1.4796	1.5182	1.6298	3.3359	2.9983	2.0426	2.1279	2.7314	2.3237
Ehmt2	chr17	+	35035443	35050992	14.2118	16.3455	18.3904	18.2334	19.3807	20.3	17.4639	18.4404	22.7893	21.732	19.0964	19.36	19.9586	20.8698	18.8574	20.2471	18.2279	19.3427
H2-Q6	chr17	+	35561821	35565306	0.4511	0.2538	0.213	0.1668	0.2144	0.1155	2.8519	2.0873	2.0265	1.8459	2.2751	2.126	0.6304	0.6826	0.3991	0.6666	0.5198	0.4471
Gm4710	chr17	+	76260362	76288379	0.0778	0.05	0.05	0.05	0.0671	0.0636	0.05	0.05	0.05	0.0661	0.0644	0.05	0.05	0.05	0.0682	0.05	0.05	0.05
Nme3	chr17	+	25033444	25034474	9.5868	11.1263	8.9086	10.7944	12.1651	15.2885	17.3759	20.2134	15.5137	15.1368	17.2291	18.0661	12.3519	11.6171	13.0359	14.2921	11.2479	12.4302
Eci1	chr17	+	24563627	24576261	19.675	17.7421	15.4096	13.7008	14.9581	14.8897	20.9594	18.9664	16.4354	15.5037	16.2268	16.0473	12.1573	12.7528	8.1337	6.0932	5.3835	4.8904
Olfr118	chr17	+	37808969	37809935	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Olfr110	chr17	+	37629412	37636619	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Snora20	chr17	+	13115722	13115783	7.5752	6.903	1.6228	5.4159	6.658	7.6858	4.3415	3.1539	4.9401	4.3977	4.4884	5.4348	3.4101	4.2887	2.5064	3.6858	2.2537	3.2432
Pram1	chr17	+	33775000	33782651	0.5178	0.3486	0.5339	0.2764	0.3811	0.3486	0.2683	0.15	0.179	0.2384	0.2548	0.3908	0.2765	0.363	0.2073	0.2331	0.2493	0.6208
Vmn2r97	chr17	+	19051285	19085035	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ndufv3	chr17	+	31657059	31668270	31.904	34.248	32.2726	26.8946	24.2252	35.6825	31.1944	27.6293	26.8489	27.1999	34.825	36.1081	28.9397	28.3786	31.7456	30.6447	29.7256	29.3139
Zscan10	chr17	+	23737822	23747986	18.8018	23.9163	31.332	27.4939	27.5362	35.1302	31.5022	34.3556	38.3473	38.3717	35.4753	34.8364	3.1988	3.3573	7.1009	6.7509	2.691	4.5786
Vmn1r226	chr17	+	20824471	20825368	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Kdm4b	chr17	+	56465472	56542296	6.4726	6.7445	5.8493	5.3183	5.9215	7.2551	6.3856	6.3749	5.9244	5.7208	7.5306	7.7263	7.1688	7.2067	6.5647	6.1687	6.0778	6.848
4930528F23Rik	chr17	+	24941326	24976732	0.05	0.114	0.1251	0.0981	0.192	0.2009	0.2367	0.1859	0.1501	0.139	0.2189	0.4358	0.05	0.05	0.0751	0.0737	0.2868	0.1644
Vmn1r224	chr17	+	20556126	20557023	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Clic1	chr17	+	35187187	35195664	33.5457	32.0723	51.7029	49.1336	34.0293	28.0296	32.365	34.7374	41.1747	38.9672	34.243	33.9462	65.0717	69.8544	108.7609	100.6182	80.7765	98.2743
Pim1	chr17	+	29627989	29632404	50.4578	48.8214	52.7533	44.2464	42.3366	33.7216	27.3351	18.3153	16.4586	15.8275	17.5022	22.8478	23.318	22.0858	8.3047	15.3242	27.3388	27.6191
Supt3h	chr17	+	44914119	45256233	2.7031	2.158	2.918	3.0296	2.605	2.541	5.4843	4.5753	4.8775	5.4151	5.4584	5.6907	5.6553	6.1871	4.4236	5.2707	6.1621	5.8
Tmem146	chr17	+	56767565	56803879	2.1464	1.7364	2.5809	2.1045	1.7472	1.1897	0.604	0.4519	0.457	0.4414	0.426	0.5964	0.3164	0.3827	0.2336	0.2622	0.3046	0.3284
Def6	chr17	+	28344722	28365553	4.7156	5.837	8.9964	9.2644	7.7241	7.4495	3.7289	3.875	6.6938	5.2914	3.6914	4.2046	1.2902	1.4126	0.7363	1.0772	1.1464	1.4567
Vmn2r93	chr17	+	18435244	18463405	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0566	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Olfr107	chr17	+	37542421	37543454	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
9030025P20Rik	chr17	+	15115827	15128541	1.21	0.9845	1.1512	1.0304	1.6376	1.4516	0.6586	0.6851	1.0048	1.0687	0.8801	1.0106	0.5871	0.6354	0.878	1.0962	0.9196	0.928
Vmn2r92	chr17	+	18288893	18322142	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Vmn2r91	chr17	+	18222020	18273607	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0574	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
